cluster_id,x,y,count,words
0,-7.194375991821289,5.4646430015563965,579,"construction, building, contractors"
1,-5.320511817932129,5.176976203918457,938,"repair, automotive, maintece"
2,-4.703420639038086,7.772904872894287,2614,"services, software"
3,-7.233185768127441,3.495718002319336,3475,"government, united, services"
4,-7.412673473358154,3.8764374256134033,2717,"services, car"
5,-5.3281636238098145,6.135962963104248,3005,"services, media"
6,-3.5447850227355957,9.36935043334961,1254,"services, business, software"
7,-4.239753723144531,8.238882064819336,1172,"real, estate, services"
8,-6.50629186630249,8.759573936462402,1950,"services, co, transportation"
9,-4.494399547576904,6.589824676513672,2425,"services, software"
10,-6.46769380569458,3.736483573913574,1849,"5, 1826, casting"
11,-3.135545492172241,6.826602458953857,2421,"gas, transportation, stations"
12,-7.577982425689697,6.689121246337891,1018,"printing, publishing, commercial"
13,-1.9099020957946777,5.900919437408447,369,"services, software, computers"
14,-3.756769895553589,5.380899906158447,1218,"services, businesses, legal"
15,-6.443811416625977,3.1006875038146973,2149,"postal, services, service..."
16,-3.8691298961639404,2.5751168727874756,808,"services, computer, software"
17,-6.350277900695801,3.0708131790161133,2373,"services, business"
18,-4.09184455871582,6.952935695648193,1659,"services, business, other"
19,-8.313981056213379,6.08284854888916,2658,"retail, stores, shopping"
20,-3.8606488704681396,8.200029373168945,2003,"real, estate, agents"
21,-6.5965962409973145,3.8569235801696777,2184,"offices, c..., of"
22,-7.776155948638916,4.052856922149658,2840,"services, of"
23,-8.805150985717773,8.417076110839844,1081,"religious, community, churches"
24,-4.370168209075928,5.696945667266846,2086,"services, business, businesses"
25,-3.3626558780670166,6.5706467628479,2435,"services, software, healthcare"
26,-6.029391288757324,10.099688529968262,1670,"legal, services, office"
27,-5.117692470550537,7.804134368896484,2224,"software, information, technology"
28,-5.074652194976807,8.797581672668457,870,"colorado, gas, transportation"
29,-6.121130466461182,9.108648300170898,1681,"healthcare, offices, clinics"
30,-6.5454277992248535,3.862065076828003,1918,"5, 1913, 1894"
31,-7.460338115692139,10.356048583984375,418,"healthcare, health, mental"
32,-2.8488337993621826,6.526196002960205,2188,"services, consumer"
33,-5.095644474029541,6.360459804534912,3223,"software, data, health"
34,-9.171575546264648,8.207683563232422,1204,"education, community, government"
35,-6.640411853790283,6.845941543579102,3038,"services, consumer"
36,-6.274423122406006,2.524566173553467,2050,"services, business, businesses"
37,-7.171109676361084,6.225592613220215,1198,"design, services, graphic"
38,-5.245398998260498,7.238162517547607,3394,"oil, gas, energy"
39,-7.439898490905762,9.090054512023926,1913,"healthcare, clinics, medical"
40,-4.18348503112793,4.76494026184082,1042,"consulting, services, business"
41,-7.169778347015381,2.391282081604004,1323,"real, estate, agents"
42,-4.365998268127441,8.077932357788086,1423,"ficial, services, investment"
43,-6.07668924331665,6.35150146484375,1456,"services, home, improvement"
44,-4.634857654571533,7.281554222106934,3886,"services, business"
45,-3.1666958332061768,6.878339767456055,2243,"energy, technology, consumer"
46,-8.317821502685547,3.529853343963623,1482,"services, professional, business"
47,-5.689451694488525,3.422161817550659,1487,"hobbies, co, 5"
48,-7.7810187339782715,3.175747871398926,926,"government, community, religious"
49,-9.40218448638916,5.735825538635254,1690,"social, food, dining"
50,-6.5149736404418945,8.991986274719238,2777,"services, gas"
51,-8.306961059570312,6.907817840576172,1079,"services, beauty, care"
52,-5.951432704925537,7.9678215980529785,2804,"direct, advertising"
53,-8.152501106262207,8.428544998168945,1333,"government, community, departments"
54,-3.2120306491851807,8.20466136932373,945,"insurance, agents, brokers"
55,-6.979635238647461,6.337186336517334,2317,"building, paint, construction"
56,-9.259510040283203,5.887913703918457,1220,"restaurants, bars, eating"
57,-9.239603042602539,5.973208904266357,511,"wine, beer, spirits"
58,-2.2990472316741943,6.315722942352295,667,"services, business, associates"
59,-5.523609638214111,3.1123063564300537,2208,"services, other, government"
60,-5.3469157218933105,9.462640762329102,1289,"media, management"
61,-7.1648712158203125,6.8410563468933105,3860,"transportation, gas, stations"
62,-1.7595138549804688,7.545681476593018,650,"electrical, work, contractor"
63,-3.8091330528259277,2.6198532581329346,2170,"services, software, internet"
